Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Phosphoprotein	210	56.0	5.99434786109e-12	1866_G_AT, 36210_G_AT, 40442_F_AT, 39522_AT, 274_AT, 37906_AT, 35613_AT, 32583_AT, 40913_AT, 41400_AT, 39757_AT, 1276_G_AT, 40347_AT, 40478_AT, 32364_AT, 41216_R_AT, 33802_AT, 38032_AT, 1973_S_AT, 31888_S_AT, 37146_AT, 35536_AT, 989_AT, 37938_AT, 988_AT, 2043_S_AT, 32133_AT, 39519_AT, 35768_AT, 37048_AT, 31615_I_AT, 41438_AT, 36507_AT, 39841_AT, 1939_AT, 34294_AT, 37385_AT, 762_F_AT, 1018_AT, 38391_AT, 36760_AT, 31562_AT, 1005_AT, 2004_AT, 38463_S_AT, 39424_AT, 32679_AT, 33698_AT, 40098_AT, 37629_AT, 1332_F_AT, 38629_AT, 38221_AT, 33288_I_AT, 32186_AT, 38024_AT, 32486_AT, 35985_AT, 36999_AT, 37584_AT, 37378_R_AT, 39586_AT, 36161_AT, 36173_R_AT, 1936_S_AT, 34537_AT, 224_AT, 37111_G_AT, 33922_AT, 1919_AT, 39175_AT, 1743_S_AT, 32119_AT, 35067_AT, 1891_AT, 37283_AT, 39503_S_AT, 36603_AT, 35471_G_AT, 412_S_AT, 612_S_AT, 199_S_AT, 2082_S_AT, 40792_S_AT, 36621_AT, 34712_AT, 38654_AT, 38089_AT, 848_AT, 35160_AT, 41234_AT, 1244_AT, 1258_S_AT, 1895_AT, 40319_AT, 1139_AT, 36532_AT, 1125_S_AT, 35440_G_AT, 35714_AT, 37377_I_AT, 41499_AT, 32193_AT, 39331_AT, 749_AT, 34184_AT, 40540_AT, 38374_AT, 37170_AT, 38823_S_AT, 1829_AT, 39573_AT, 32626_AT, 259_S_AT, 35886_AT, 38018_G_AT, 33539_AT, 287_AT, 41358_AT, 36957_AT, 33120_AT, 41856_AT, 41105_S_AT, 35345_AT, 36018_AT, 706_AT, 38860_AT, 33545_AT, 32265_AT, 41099_AT, 41598_AT, 1788_S_AT, 38491_AT, 1994_AT, 40790_AT, 35294_AT, 1461_AT, 1124_AT, 31521_F_AT, 41779_AT, 1385_AT, 34581_S_AT, 1242_AT, 40856_AT, 39750_AT, 1270_AT, 33455_AT, 35500_AT, 1167_S_AT, 35018_AT, 1857_AT, 40210_AT, 40473_AT, 32405_AT, 37506_AT, 1750_AT, 35957_AT, 39159_AT, 33346_R_AT, 41106_AT, 1463_AT, 35314_AT, 33470_AT, 32522_F_AT, 36865_AT, 40522_AT, 1432_S_AT, 37463_R_AT, 33366_AT, 37155_AT, 35776_AT, 2036_S_AT, 34857_AT, 471_F_AT, 430_AT, 38538_AT, 32379_F_AT, 32779_S_AT, 36562_AT, 41532_AT, 40669_AT, 1267_AT, 37310_AT, 34981_AT, 37862_AT, 32699_S_AT, 39587_AT, 38970_S_AT, 1852_AT, 41657_AT, 1237_AT, 1602_AT, 39408_AT, 37724_AT, 34562_AT, 34226_AT, 38685_AT, 41726_AT, 41159_AT, 37722_S_AT, 37831_AT, 40735_AT, 37206_AT, 33385_G_AT, 39753_AT, 37317_AT, 41387_R_AT, 31522_F_AT, 1911_S_AT, 967_G_AT, 34688_AT, 36960_AT, 37889_AT, 568_AT, 31353_F_AT, 36615_AT, 36052_AT, 1091_AT, 38645_AT, 41550_AT	363	8246	20581	1.44389566291	2.18792539641e-09	2.18792539641e-09	8.24943446887e-09
GOTERM_MF_DIRECT	GO:0005515~protein binding	234	62.4	2.68112357609e-09	1866_G_AT, 36210_G_AT, 40442_F_AT, 37270_AT, 274_AT, 31737_AT, 1388_G_AT, 37906_AT, 34438_AT, 32583_AT, 40913_AT, 41400_AT, 39757_AT, 1276_G_AT, 37218_AT, 38642_AT, 41216_R_AT, 35372_R_AT, 32928_AT, 33802_AT, 36009_AT, 1973_S_AT, 41371_AT, 36285_AT, 37146_AT, 33492_AT, 35536_AT, 989_AT, 41382_AT, 988_AT, 2043_S_AT, 32133_AT, 36055_AT, 39519_AT, 35768_AT, 37048_AT, 31615_I_AT, 36809_AT, 1867_AT, 1939_AT, 34294_AT, 36929_AT, 41169_AT, 36754_AT, 37385_AT, 35472_AT, 762_F_AT, 38391_AT, 34145_AT, 1369_S_AT, 35726_AT, 36760_AT, 1005_AT, 2004_AT, 39424_AT, 33698_AT, 40098_AT, 37629_AT, 38671_AT, 1332_F_AT, 38629_AT, 40661_AT, 38221_AT, 36103_AT, 33288_I_AT, 38024_AT, 32486_AT, 36999_AT, 37584_AT, 37378_R_AT, 39586_AT, 37559_AT, 1804_AT, 2030_AT, 36161_AT, 1936_S_AT, 36101_S_AT, 224_AT, 1569_R_AT, 1919_AT, 257_AT, 38953_AT, 37139_AT, 1743_S_AT, 35067_AT, 1891_AT, 39503_S_AT, 412_S_AT, 199_S_AT, 2082_S_AT, 1372_AT, 40792_S_AT, 40895_G_AT, 39748_AT, 31648_AT, 34712_AT, 38654_AT, 38089_AT, 848_AT, 35160_AT, 39232_AT, 41234_AT, 33662_AT, 1244_AT, 1258_S_AT, 1895_AT, 40319_AT, 1139_AT, 33893_R_AT, 39698_AT, 36532_AT, 1125_S_AT, 35440_G_AT, 33555_AT, 37377_I_AT, 38691_S_AT, 37365_AT, 41499_AT, 32193_AT, 39331_AT, 652_G_AT, 34184_AT, 1953_AT, 37762_AT, 38374_AT, 1829_AT, 41850_S_AT, 259_S_AT, 36674_AT, 35886_AT, 36100_AT, 39407_AT, 38018_G_AT, 33665_S_AT, 287_AT, 36957_AT, 36728_AT, 35595_AT, 41856_AT, 41105_S_AT, 36018_AT, 1548_S_AT, 706_AT, 164_AT, 32265_AT, 41099_AT, 41598_AT, 38491_AT, 1994_AT, 40790_AT, 39950_AT, 1461_AT, 37606_AT, 1124_AT, 31859_AT, 131_AT, 31521_F_AT, 41779_AT, 1385_AT, 34581_S_AT, 39750_AT, 40856_AT, 1270_AT, 33455_AT, 35500_AT, 1167_S_AT, 40210_AT, 35018_AT, 1857_AT, 40473_AT, 1774_AT, 37506_AT, 1750_AT, 33346_R_AT, 39159_AT, 41106_AT, 40840_AT, 1463_AT, 35314_AT, 32522_F_AT, 40522_AT, 31564_AT, 32919_AT, 1432_S_AT, 37463_R_AT, 33366_AT, 37155_AT, 35776_AT, 2036_S_AT, 471_F_AT, 35606_AT, 35149_AT, 32379_F_AT, 38538_AT, 37233_AT, 41505_R_AT, 32779_S_AT, 36562_AT, 41532_AT, 33094_S_AT, 40669_AT, 37310_AT, 39967_AT, 936_S_AT, 34981_AT, 38326_AT, 32699_S_AT, 39587_AT, 38970_S_AT, 1852_AT, 41657_AT, 39304_G_AT, 1237_AT, 1602_AT, 919_AT, 37724_AT, 34562_AT, 34226_AT, 35414_S_AT, 36519_AT, 38685_AT, 41726_AT, 38356_AT, 41159_AT, 37722_S_AT, 189_S_AT, 39071_AT, 33825_AT, 41445_AT, 33385_G_AT, 39753_AT, 37317_AT, 41387_R_AT, 31522_F_AT, 1911_S_AT, 40385_AT, 967_G_AT, 34688_AT, 36960_AT, 37889_AT, 568_AT, 789_AT, 40310_AT, 1091_AT, 38645_AT, 600_AT, 41365_AT, 31977_AT	346	8785	16881	1.29955948296	1.57649940413e-06	1.57649940413e-06	3.94886743305e-06
GOTERM_CC_DIRECT	GO:0005615~extracellular space	53	14.1333333333	1.14748622172e-06	35149_AT, 1520_S_AT, 1953_AT, 875_G_AT, 31737_AT, 37906_AT, 1148_S_AT, 34438_AT, 35915_AT, 1804_AT, 32464_AT, 2030_AT, 36749_AT, 36674_AT, 259_S_AT, 36101_S_AT, 36100_AT, 37310_AT, 39407_AT, 35372_R_AT, 33802_AT, 1548_S_AT, 32699_S_AT, 38860_AT, 1852_AT, 32359_AT, 612_S_AT, 1263_AT, 41382_AT, 1372_AT, 36621_AT, 39950_AT, 39402_AT, 33012_AT, 31859_AT, 36754_AT, 1385_AT, 34375_AT, 37831_AT, 1018_AT, 40856_AT, 33825_AT, 41445_AT, 1369_S_AT, 719_G_AT, 36760_AT, 31745_AT, 31586_F_AT, 408_AT, 38691_S_AT, 31522_F_AT, 40385_AT, 33698_AT, 35378_AT, 36615_AT, 31564_AT, 1332_F_AT, 36103_AT, 41365_AT	352	1347	18224	2.03708577985	0.000427921021938	0.000427921021938	0.00158422425257
GOTERM_BP_DIRECT	GO:0006874~cellular calcium ion homeostasis	12	3.2	3.18391160547e-06	34857_AT, 35149_AT, 38032_AT, 875_G_AT, 38538_AT, 1388_G_AT, 38684_AT, 40913_AT, 35471_G_AT, 39573_AT, 34375_AT, 36103_AT, 41445_AT	346	93	16792	6.26216669774	0.00719195233904	0.00719195233904	0.00555410249893
GOTERM_MF_DIRECT	GO:0019904~protein domain specific binding	17	4.53333333333	6.10437340867e-06	37418_AT, 1866_G_AT, 1520_S_AT, 39402_AT, 1743_S_AT, 41499_AT, 36519_AT, 41169_AT, 31521_F_AT, 36865_AT, 38671_AT, 989_AT, 762_F_AT, 189_S_AT, 40669_AT, 38391_AT, 1602_AT, 40790_AT, 38491_AT, 36760_AT	346	208	16881	3.9875639173	0.00358294838681	0.00179308176451	0.00899039202333
GOTERM_BP_DIRECT	GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation	11	2.93333333333	6.77683589583e-06	2036_S_AT, 31615_I_AT, 1125_S_AT, 39424_AT, 1953_AT, 1939_AT, 1148_S_AT, 35471_G_AT, 1332_F_AT, 41657_AT, 1263_AT, 36101_S_AT, 36100_AT, 41445_AT, 39753_AT	346	82	16792	6.51036232906	0.0152457280482	0.00765214166007	0.0118213486818
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	42	11.2	1.19859373111e-05	35149_AT, 1520_S_AT, 1953_AT, 274_AT, 36711_AT, 1388_G_AT, 1148_S_AT, 41505_R_AT, 32583_AT, 1936_S_AT, 259_S_AT, 36101_S_AT, 36100_AT, 36669_AT, 32364_AT, 287_AT, 32928_AT, 37418_AT, 35848_AT, 1973_S_AT, 36018_AT, 1548_S_AT, 706_AT, 38970_S_AT, 1852_AT, 989_AT, 32265_AT, 38491_AT, 1994_AT, 37724_AT, 39402_AT, 1461_AT, 1939_AT, 33012_AT, 1124_AT, 35414_S_AT, 36754_AT, 35160_AT, 1895_AT, 41445_AT, 1857_AT, 32696_AT, 41387_R_AT, 41499_AT, 31734_AT, 789_AT, 40310_AT, 40661_AT, 34165_AT	346	981	16792	2.07781372081	0.0268064373604	0.00901653263938	0.0209070837658
UP_KEYWORDS	Disease mutation	74	19.7333333333	1.58228340545e-05	471_F_AT, 37223_AT, 430_AT, 35149_AT, 37584_AT, 37378_R_AT, 1388_G_AT, 37906_AT, 31737_AT, 41505_R_AT, 32779_S_AT, 33094_S_AT, 34537_AT, 32626_AT, 40669_AT, 39407_AT, 32364_AT, 33665_S_AT, 41358_AT, 38953_AT, 37139_AT, 37862_AT, 32119_AT, 35067_AT, 31741_AT, 36018_AT, 35345_AT, 1548_S_AT, 39587_AT, 706_AT, 33545_AT, 41657_AT, 38491_AT, 32133_AT, 2082_S_AT, 39408_AT, 39519_AT, 1461_AT, 1939_AT, 37606_AT, 35414_S_AT, 32897_AT, 36929_AT, 41726_AT, 1385_AT, 41234_AT, 1242_AT, 1258_S_AT, 887_AT, 1018_AT, 40735_AT, 33455_AT, 33825_AT, 719_G_AT, 41445_AT, 31562_AT, 38463_S_AT, 31586_F_AT, 37317_AT, 37377_I_AT, 38691_S_AT, 41499_AT, 33346_R_AT, 41106_AT, 38684_AT, 1463_AT, 33698_AT, 568_AT, 31353_F_AT, 40522_AT, 1332_F_AT, 38629_AT, 39331_AT, 31977_AT, 749_AT	363	2550	20581	1.6453238265	0.00575873467367	0.00288352469417	0.0217733287288
GOTERM_BP_DIRECT	GO:0030334~regulation of cell migration	10	2.66666666667	2.00560424063e-05	38671_AT, 989_AT, 37377_I_AT, 37378_R_AT, 1139_AT, 35414_S_AT, 988_AT, 41445_AT, 31888_S_AT, 32193_AT, 35160_AT	346	74	16792	6.55835025777	0.0444493464404	0.01130251717	0.034981455841
UP_KEYWORDS	Proto-oncogene	16	4.26666666667	2.02882030421e-05	41499_AT, 39159_AT, 1973_S_AT, 1124_AT, 1891_AT, 41105_S_AT, 41505_R_AT, 32583_AT, 1936_S_AT, 32359_AT, 35687_AT, 1895_AT, 40661_AT, 1602_AT, 39698_AT, 38491_AT, 2043_S_AT, 37724_AT, 1919_AT	363	236	20581	3.84386235234	0.00737791778084	0.00246537902575	0.0279171939919
