Annotation Cluster 1	Enrichment Score: 1.6125572173550935
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0045861~negative regulation of proteolysis	5	15.625	8.576011049235552E-4	6318, 1992, 646424, 5327, 1470	24	317	16650	10.942429022082019	0.320870904698056	0.320870904698056	1.2102014787664483
GOTERM_MF_FAT	GO:0004866~endopeptidase inhibitor activity	4	12.5	0.0016000847315929508	6318, 1992, 646424, 1470	22	174	15478	16.17345872518286	0.27055342454402875	0.27055342454402875	1.982268219835348
GOTERM_MF_FAT	GO:0061135~endopeptidase regulator activity	4	12.5	0.0017631685158028534	6318, 1992, 646424, 1470	22	180	15478	15.634343434343435	0.29365449066163873	0.1595563615932587	2.182261359935289
GOTERM_MF_FAT	GO:0030414~peptidase inhibitor activity	4	12.5	0.0018484765250680907	6318, 1992, 646424, 1470	22	183	15478	15.378042722305018	0.3054470320940541	0.11440506539602302	2.286726781070647
GOTERM_BP_FAT	GO:0030162~regulation of proteolysis	6	18.75	0.0024355211831494977	6318, 1992, 646424, 5327, 1470, 629	24	708	16650	5.8792372881355925	0.6670489650766223	0.42298090592825455	3.401384738403479
GOTERM_MF_FAT	GO:0061134~peptidase regulator activity	4	12.5	0.003118429495090938	6318, 1992, 646424, 1470	22	220	15478	12.791735537190084	0.45951612720954627	0.1425759025738007	3.829781857638792
GOTERM_BP_FAT	GO:0010951~negative regulation of endopeptidase activity	4	12.5	0.0039903371301937525	6318, 1992, 646424, 1470	24	235	16650	11.808510638297872	0.8352361785111175	0.45178116536404456	5.5162219509113815
GOTERM_BP_FAT	GO:0010466~negative regulation of peptidase activity	4	12.5	0.00458655370032905	6318, 1992, 646424, 1470	24	247	16650	11.234817813765181	0.8742291902879156	0.4044819022058195	6.315708480807292
GOTERM_BP_FAT	GO:0006508~proteolysis	8	25.0	0.006288178220630035	6318, 1992, 646424, 5327, 22802, 1470, 132724, 629	24	1693	16650	3.2782043709391613	0.9418612260030487	0.43389997525688584	8.563023784908541
GOTERM_MF_FAT	GO:0004867~serine-type endopeptidase inhibitor activity	3	9.375	0.007553805124373719	6318, 1992, 646424	22	97	15478	21.759137769447044	0.7754705683425076	0.25825495229802453	9.044816812649515
GOTERM_BP_FAT	GO:0032269~negative regulation of cellular protein metabolic process	6	18.75	0.010172496025081142	6318, 1992, 646424, 5327, 1470, 9052	24	992	16650	4.196068548387097	0.9900610096629389	0.5363142905278988	13.506587758011722
GOTERM_BP_FAT	GO:0051248~negative regulation of protein metabolic process	6	18.75	0.012769452533273312	6318, 1992, 646424, 5327, 1470, 9052	24	1049	16650	3.9680648236415634	0.9969606418700295	0.5630845413395443	16.671890506381516
GOTERM_BP_FAT	GO:0052548~regulation of endopeptidase activity	4	12.5	0.014063780576404677	6318, 1992, 646424, 1470	24	372	16650	7.459677419354838	0.9983180295858548	0.5499846849755514	18.20895771436042
GOTERM_MF_FAT	GO:0004857~enzyme inhibitor activity	4	12.5	0.014970572471816126	6318, 1992, 646424, 1470	22	389	15478	7.2344005608787105	0.9487736499985856	0.3905815914009092	17.18751823775878
GOTERM_BP_FAT	GO:0052547~regulation of peptidase activity	4	12.5	0.016612481997766673	6318, 1992, 646424, 1470	24	396	16650	7.007575757575757	0.999476597383273	0.5680572290934478	21.15889674802618
GOTERM_BP_FAT	GO:0051346~negative regulation of hydrolase activity	4	12.5	0.01717428106805219	6318, 1992, 646424, 1470	24	401	16650	6.9201995012468815	0.9995955105109225	0.5421842556275346	21.795693152729523
GOTERM_BP_FAT	GO:0043086~negative regulation of catalytic activity	5	15.625	0.02637542829100185	6318, 1992, 646424, 1470, 9052	24	839	16650	4.1343861740166865	0.9999941846194744	0.6657645135042554	31.56808242473028
GOTERM_BP_FAT	GO:0044092~negative regulation of molecular function	5	15.625	0.06143259224154681	6318, 1992, 646424, 1470, 9052	24	1100	16650	3.1534090909090913	0.9999999999996181	0.9077087464988096	59.332770681833644
GOTERM_BP_FAT	GO:0010605~negative regulation of macromolecule metabolic process	7	21.875	0.09091499821269944	6318, 1992, 646424, 5327, 1470, 1999, 9052	24	2326	16650	2.087811693895099	1.0	0.9536047731150188	74.14544998840982
GOTERM_BP_FAT	GO:0031324~negative regulation of cellular metabolic process	7	21.875	0.09378878795526936	6318, 1992, 646424, 5327, 1470, 1999, 9052	24	2345	16650	2.07089552238806	1.0	0.9482355548211453	75.28145857858652
GOTERM_BP_FAT	GO:0051246~regulation of protein metabolic process	7	21.875	0.12127109981929703	6318, 1992, 646424, 5327, 1470, 9052, 629	24	2512	16650	1.933220541401274	1.0	0.9738536978807426	84.03316816985141
GOTERM_BP_FAT	GO:0009892~negative regulation of metabolic process	7	21.875	0.12304169271966439	6318, 1992, 646424, 5327, 1470, 1999, 9052	24	2522	16650	1.9255551149881047	1.0	0.9692910483231867	84.48372233846037
GOTERM_MF_FAT	GO:0030234~enzyme regulator activity	4	12.5	0.14945189571214929	6318, 1992, 646424, 1470	22	996	15478	2.8254837531945967	0.9999999999999859	0.9139664868505001	86.78615300676533
GOTERM_BP_FAT	GO:0032268~regulation of cellular protein metabolic process	6	18.75	0.21539840832740365	6318, 1992, 646424, 5327, 1470, 9052	24	2346	16650	1.7742966751918159	1.0	0.9977071439092134	96.8017141501937
GOTERM_BP_FAT	GO:0051336~regulation of hydrolase activity	4	12.5	0.27999326181021944	6318, 1992, 646424, 1470	24	1337	16650	2.075542258788332	1.0	0.9984057514156409	99.05507711669208
GOTERM_MF_FAT	GO:0098772~molecular function regulator	4	12.5	0.29341987535750524	6318, 1992, 646424, 1470	22	1397	15478	2.014446541289777	1.0	0.9924580151823322	98.69960846504449
GOTERM_BP_FAT	GO:0050790~regulation of catalytic activity	5	15.625	0.41402155190915607	6318, 1992, 646424, 1470, 9052	24	2357	16650	1.4716801018243533	1.0	0.9997544390254203	99.9491957826127
GOTERM_BP_FAT	GO:0048585~negative regulation of response to stimulus	3	9.375	0.5748032021308997	6318, 5327, 9052	24	1369	16650	1.5202702702702702	1.0	0.9999916041797631	99.9994640223788
GOTERM_BP_FAT	GO:0065009~regulation of molecular function	5	15.625	0.5757303404399043	6318, 1992, 646424, 1470, 9052	24	2863	16650	1.2115787635347537	1.0	0.9999884978156848	99.99948037144604

Annotation Cluster 2	Enrichment Score: 1.4118190764997642
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0006508~proteolysis	8	25.0	0.006288178220630035	6318, 1992, 646424, 5327, 22802, 1470, 132724, 629	24	1693	16650	3.2782043709391613	0.9418612260030487	0.43389997525688584	8.563023784908541
GOTERM_MF_FAT	GO:0004175~endopeptidase activity	4	12.5	0.028180437134625317	5327, 22802, 132724, 629	22	495	15478	5.685215794306703	0.9964159791029378	0.5526737729732811	30.050605781970198
GOTERM_MF_FAT	GO:0004252~serine-type endopeptidase activity	3	9.375	0.0462242376898171	5327, 132724, 629	22	255	15478	8.277005347593583	0.999910686416867	0.6882082000773625	44.6626855222724
GOTERM_MF_FAT	GO:0008236~serine-type peptidase activity	3	9.375	0.05533501325759853	5327, 132724, 629	22	282	15478	7.484526112185686	0.9999865187451634	0.7123536124454586	50.92051080163327
GOTERM_MF_FAT	GO:0017171~serine hydrolase activity	3	9.375	0.056384361828504696	5327, 132724, 629	22	285	15478	7.405741626794257	0.9999891696985722	0.6812398265990727	51.59781140598258
GOTERM_MF_FAT	GO:0070011~peptidase activity, acting on L-amino acid peptides	4	12.5	0.06869630106027422	5327, 22802, 132724, 629	22	708	15478	3.974833076527992	0.9999991853114867	0.7204536789144367	58.927541093498434
GOTERM_MF_FAT	GO:0008233~peptidase activity	4	12.5	0.07461602311453444	5327, 22802, 132724, 629	22	733	15478	3.8392657819670095	0.9999997680314278	0.7200251015608007	62.07499441107453

Annotation Cluster 3	Enrichment Score: 0.5243830003012834
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0002697~regulation of immune effector process	3	9.375	0.07344288468044573	6318, 55601, 629	24	325	16650	6.403846153846153	0.9999999999999989	0.9290879545537842	66.12589557181285
GOTERM_BP_FAT	GO:0031347~regulation of defense response	3	9.375	0.23931814321515799	6318, 55601, 629	24	676	16650	3.0787721893491127	1.0	0.9984859655990408	97.93890980757448
GOTERM_BP_FAT	GO:0080134~regulation of response to stress	4	12.5	0.2600324824836442	6318, 55601, 5327, 629	24	1285	16650	2.159533073929961	1.0	0.9988760541466519	98.60704980191177
GOTERM_BP_FAT	GO:0002252~immune effector process	3	9.375	0.2735762207962005	6318, 55601, 629	24	742	16650	2.8049191374663076	1.0	0.9985730916798642	98.9282757280384
GOTERM_BP_FAT	GO:0045087~innate immune response	3	9.375	0.3224174038221107	6318, 55601, 629	24	836	16650	2.4895334928229667	1.0	0.9993339623071889	99.60087762739445
GOTERM_BP_FAT	GO:0006952~defense response	4	12.5	0.3506279780319565	6318, 55601, 1999, 629	24	1518	16650	1.8280632411067192	1.0	0.9994409062028853	99.78172271520421
GOTERM_BP_FAT	GO:0050776~regulation of immune response	3	9.375	0.36150343380045447	6318, 55601, 629	24	912	16650	2.2820723684210527	1.0	0.999443549653548	99.8282431674799
