Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Keratin	26	27.6595744681	6.44613092417e-35	85285, 85294, 85289, 83755, 388818, 337972, 8689, 83899, 100132476, 643803, 83897, 81850, 337959, 81871, 81870, 728224, 100505753, 353288, 100132386, 83900, 653240, 85291, 728279, 85290, 85280, 337882	78	153	20581	44.8387799564	7.735357109e-33	7.735357109e-33	7.39972155303e-32
INTERPRO	IPR002494:High sulphur keratin-associated protein	18	19.1489361702	2.13125391714e-28	85294, 85285, 83755, 85289, 83899, 100132476, 81850, 81871, 81870, 100505753, 728224, 100132386, 83900, 653240, 85291, 728279, 85290, 85280	74	57	18559	79.1991465149	2.72800501394e-26	2.72800501394e-26	2.47509579871e-25
GOTERM_CC_DIRECT	GO:0045095~keratin filament	20	21.2765957447	4.0520008119e-27	85294, 85285, 83755, 85289, 83899, 100132476, 643803, 83897, 81850, 81871, 81870, 100505753, 728224, 100132386, 83900, 653240, 85291, 728279, 85290, 85280	76	100	18224	47.9578947368	2.75536055209e-25	2.75536055209e-25	4.16858713976e-24
UP_SEQ_FEATURE	repeat:15	14	14.8936170213	5.50726547296e-19	85285, 83755, 85289, 83899, 100132476, 81871, 81870, 728224, 100132386, 83900, 85291, 653240, 85290, 85280	74	74	20063	51.2932797663	1.25565652783e-16	1.25565652783e-16	7.05069852288e-16
UP_SEQ_FEATURE	repeat:14	14	14.8936170213	1.62867571018e-18	85285, 83755, 85289, 83899, 100132476, 81871, 81870, 728224, 100132386, 83900, 85291, 653240, 85290, 85280	74	80	20063	47.4462837838	3.71338061921e-16	1.85669030961e-16	2.08511855483e-15
UP_SEQ_FEATURE	repeat:16	13	13.829787234	3.11629542345e-18	85285, 81871, 85289, 83755, 81870, 728224, 83899, 100132386, 83900, 653240, 85291, 85290, 100132476	74	61	20063	57.7800177226	7.10515356548e-16	2.36838452183e-16	3.98964960867e-15
UP_SEQ_FEATURE	repeat:13	14	14.8936170213	3.19559895549e-18	85285, 83755, 85289, 83899, 100132476, 81871, 81870, 728224, 100132386, 83900, 85291, 653240, 85290, 85280	74	84	20063	45.1869369369	7.28596561851e-16	1.82149140463e-16	4.09117827092e-15
UP_SEQ_FEATURE	repeat:12	14	14.8936170213	4.41775670704e-18	85285, 83755, 85289, 83899, 100132476, 81871, 81870, 728224, 100132386, 83900, 85291, 653240, 85290, 85280	74	86	20063	44.1360779384	1.00724852921e-15	2.01449705841e-16	5.6558505926e-15
UP_SEQ_FEATURE	repeat:5	16	17.0212765957	1.79826514659e-17	85285, 83755, 85289, 83899, 643803, 100132476, 337959, 81871, 81870, 728224, 100132386, 83900, 85291, 653240, 85290, 85280	74	161	20063	26.9437636394	4.10004453423e-15	6.83340755704e-16	2.30223610521e-14
UP_SEQ_FEATURE	repeat:10	14	14.8936170213	2.63089956939e-17	85285, 83755, 85289, 83899, 100132476, 81871, 81870, 728224, 100132386, 83900, 85291, 653240, 85290, 85280	74	98	20063	38.7316602317	5.99845101821e-15	8.56921574029e-16	3.36821963619e-14
