ID	Gene Name	Species	KEGG_PATHWAY
CCL14	C-C motif chemokine ligand 14(CCL14)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,
CCL3	C-C motif chemokine ligand 3(CCL3)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04620:Toll-like receptor signaling pathway,hsa05132:Salmonella infection,hsa05142:Chagas disease (American trypanosomiasis),hsa05323:Rheumatoid arthritis,
CD1A	CD1a molecule(CD1A)	Homo sapiens	hsa04640:Hematopoietic cell lineage,
CD2	CD2 molecule(CD2)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),hsa04640:Hematopoietic cell lineage,
FCER1A	Fc fragment of IgE receptor Ia(FCER1A)	Homo sapiens	hsa04071:Sphingolipid signaling pathway,hsa04664:Fc epsilon RI signaling pathway,hsa05310:Asthma,
FCGR3A	Fc fragment of IgG receptor IIIa(FCGR3A)	Homo sapiens	hsa04145:Phagosome,hsa04380:Osteoclast differentiation,hsa04650:Natural killer cell mediated cytotoxicity,hsa05140:Leishmaniasis,hsa05150:Staphylococcus aureus infection,hsa05152:Tuberculosis,hsa05322:Systemic lupus erythematosus,
AWAT2	acyl-CoA wax alcohol acyltransferase 2(AWAT2)	Homo sapiens	hsa00830:Retinol metabolism,hsa04977:Vitamin digestion and absorption,
C1QA	complement C1q A chain(C1QA)	Homo sapiens	hsa04610:Complement and coagulation cascades,hsa05020:Prion diseases,hsa05133:Pertussis,hsa05142:Chagas disease (American trypanosomiasis),hsa05150:Staphylococcus aureus infection,hsa05322:Systemic lupus erythematosus,
CST1	cystatin SN(CST1)	Homo sapiens	hsa04970:Salivary secretion,
CYP3A4	cytochrome P450 family 3 subfamily A member 4(CYP3A4)	Homo sapiens	hsa00140:Steroid hormone biosynthesis,hsa00591:Linoleic acid metabolism,hsa00830:Retinol metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa00982:Drug metabolism - cytochrome P450,hsa00983:Drug metabolism - other enzymes,hsa01100:Metabolic pathways,hsa05204:Chemical carcinogenesis,
GHRL	ghrelin and obestatin prepropeptide(GHRL)	Homo sapiens	hsa04024:cAMP signaling pathway,
GSTA3	glutathione S-transferase alpha 3(GSTA3)	Homo sapiens	hsa00480:Glutathione metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa00982:Drug metabolism - cytochrome P450,hsa05204:Chemical carcinogenesis,
HPGDS	hematopoietic prostaglandin D synthase(HPGDS)	Homo sapiens	hsa00590:Arachidonic acid metabolism,hsa01100:Metabolic pathways,
HBA1	hemoglobin subunit alpha 1(HBA1)	Homo sapiens	hsa05143:African trypanosomiasis,hsa05144:Malaria,
HBA2	hemoglobin subunit alpha 2(HBA2)	Homo sapiens	hsa05143:African trypanosomiasis,hsa05144:Malaria,
HIST1H2AB	histone cluster 1 H2A family member b(HIST1H2AB)	Homo sapiens	hsa05034:Alcoholism,hsa05322:Systemic lupus erythematosus,
HIST1H2BB	histone cluster 1 H2B family member b(HIST1H2BB)	Homo sapiens	hsa05034:Alcoholism,hsa05203:Viral carcinogenesis,hsa05322:Systemic lupus erythematosus,
HIST4H4	histone cluster 4 H4(HIST4H4)	Homo sapiens	hsa05034:Alcoholism,hsa05203:Viral carcinogenesis,hsa05322:Systemic lupus erythematosus,
HAO2	hydroxyacid oxidase 2(HAO2)	Homo sapiens	hsa00630:Glyoxylate and dicarboxylate metabolism,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,hsa01200:Carbon metabolism,hsa04146:Peroxisome,
IL2RG	interleukin 2 receptor subunit gamma(IL2RG)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04144:Endocytosis,hsa04151:PI3K-Akt signaling pathway,hsa04630:Jak-STAT signaling pathway,hsa05162:Measles,hsa05166:HTLV-I infection,hsa05321:Inflammatory bowel disease (IBD),hsa05340:Primary immunodeficiency,
KLRB1	killer cell lectin like receptor B1(KLRB1)	Homo sapiens	hsa05144:Malaria,
MC5R	melanocortin 5 receptor(MC5R)	Homo sapiens	hsa04080:Neuroactive ligand-receptor interaction,
MT1H	metallothionein 1H(MT1H)	Homo sapiens	hsa04978:Mineral absorption,
NEU2	neuraminidase 2(NEU2)	Homo sapiens	hsa00511:Other glycan degradation,hsa00600:Sphingolipid metabolism,
NPBWR1	neuropeptides B/W receptor 1(NPBWR1)	Homo sapiens	hsa04080:Neuroactive ligand-receptor interaction,
